person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,risk_score_tahap2,predicted_tahap2
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.6828533099345627,1
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.7671599699051737,1
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.8237411436073406,1
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.4861579770014419,0
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.7075137714763005,1
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.5,1
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.4866911962627945,0
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.5,1
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.814942129995502,1
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.5000000000000001,1
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.5000000000000002,1
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.41141011617805145,0
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.5,1
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.7755723102605885,1
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.6752887559183437,1
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,0.6673887514738871,1
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.5,1
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.4830067267111194,0
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.4320175169604503,0
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.5,1
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.4152504799663545,0
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.5309095889186508,1
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.6210626132797942,1
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.5361609070378272,1
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.8068891923144249,1
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.5185016753043308,1
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,0.6877994098793052,1
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.8491042146867341,1
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.7949654725541924,1
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.5,1
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.383896296358366,0
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.575552987741102,1
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.48873719656030873,0
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,0.4313482624053601,0
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.39720159032082997,0
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,0.4875253725049173,0
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.39720159032082997,0
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.5,1
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0.4284525501951012,0
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.5,1
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.7734973885526056,1
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.5032516157925777,1
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.4875253725049173,0
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.5,1
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.5,1
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.4999999999999999,0
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,0.572818337351726,1
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,0.5,1
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.5982787516775985,1
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.5,1
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.5135002792131221,1
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.7412543807913157,1
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.5869407802371746,1
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.7052590021691104,1
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.5,1
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.6429162081574571,1
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.49623466115772574,0
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.7526660491908996,1
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.5,1
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,0.39720159032082997,0
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,0.5557035242437376,1
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.5,1
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,0.5,1
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.7089676298525357,1
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.8142133685284633,1
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0.5,1
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.5,1
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.5,1
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,0.6877994098793052,1
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.5,1
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.4830067267111194,0
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.4999999999999999,0
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.6673887514738871,1
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.5,1
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.4290821848781107,0
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.4890773278568125,0
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.5000000000000003,1
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.5,1
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.4999999999999999,0
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.687690869135963,1
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.5,1
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.8491624610162342,1
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,0.8518122212855116,1
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.4852178700266302,0
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.5722571406676423,1
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.43674082357893457,0
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.5,1
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.5,1
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,0.41659344566513157,0
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.7052590021691104,1
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.5,1
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.5,1
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.782295024832002,1
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.7712880560148985,1
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,0.6877994098793052,1
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.82419957285677,1
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.5,1
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.5,1
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.38940849145526985,0
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.5,1
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.5,1
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.7412543807913157,1
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.7075137714763005,1
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.5,1
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.5,1
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.7075137714763005,1
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.5,1
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.7200586898460306,1
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.6563378559755236,1
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.543295385251829,1
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.5,1
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.48700054025665895,0
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.5847457755621721,1
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.5,1
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.5010576519593058,1
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.5,1
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.5,1
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.841933758795409,1
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.6459797510316594,1
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.5,1
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.5,1
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.42579397580495476,0
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.7052590021691104,1
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.4232893614989717,0
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.44932873109764554,0
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.5,1
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,0.6398030804681741,1
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,0.6398030804681741,1
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.6547362843637592,1
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.7814377025908406,1
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.654635132532038,1
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.5,1
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.4981907837063866,0
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.7898686141774638,1
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.8310912885696755,1
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.6673887514738871,1
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.6720067249820592,1
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.5,1
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,0.6715408609540352,1
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.5,1
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.5,1
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.5000000000000002,1
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.6658510146983241,1
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.7931432381410998,1
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.6231368792676538,1
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.6673887514738871,1
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.5,1
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.7885570615501085,1
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,0.5,1
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.5,1
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.4320175169604503,0
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.5010576519593058,1
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.5,1
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.4318836075434083,0
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.5,1
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.8178998369838087,1
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.4284525501951012,0
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.6077119534090012,1
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.5,1
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.5,1
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,0.4875253725049173,0
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,0.5,1
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,0.41141011617805145,0
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.5,1
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.5377259279131097,1
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.6877994098793052,1
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.8161260594922451,1
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.5,1
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.48873719656030873,0
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.5,1
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.5000000000000002,1
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.795429599047998,1
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.670880374641857,1
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.7052590021691104,1
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.5738827263833792,1
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.625519169233824,1
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.5,1
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.7052590021691104,1
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.5,1
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.5,1
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.6337628331632135,1
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.5,1
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,0.5,1
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.4770008558934875,0
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,0.4875253725049173,0
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,0.4875253725049173,0
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.6231368792676538,1
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.6449323046104348,1
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.46289225567821063,0
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.4883779212420753,0
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,Y,2,0.5,1
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.6572441398146041,1
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.6674456500982222,1
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.41235647921141916,0
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0.5,1
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,0.5,1
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,0.5,1
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,0.5,1
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,0.5,1
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,0.7052590021691104,1
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,N,4,0.4313482624053601,0
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,0.5,1
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,0.7052590021691104,1
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0.5,1
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0.5,1
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,0.5000000000000002,1
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,0.5,1
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,0.4999999999999999,0
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,0.4887516461779813,0
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,10.99,0,0.01,N,2,0.5,1
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,0.48913557671386493,0
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,0.6226032132783613,1
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,10.99,1,0.34,Y,4,0.6877994098793052,1
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,0.5024339964040732,1
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,0.7163163428981846,1
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,0.5,1
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,0.6978938872640619,1
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,0.8285781711699715,1
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,0.6950760442905198,1
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,0.4872389612622859,0
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,0.5,1
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,0.4320175169604503,0
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,0.8454767488085412,1
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,0.6407265013033955,1
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,0.5,1
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,0.42158467103102876,0
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,0.6861406503457854,1
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,10.99,1,0.41,N,4,0.6746370491775281,1
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,0.8007972587164649,1
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,0.8060336359662937,1
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,0.6413794420813909,1
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,0.5,1
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,0.6527150961200352,1
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,0.5,1
26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,0.4313482624053601,0
24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,0.4886249233972708,0
25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,0.4999999999999999,0
26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,0.4320175169604503,0
25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2,0.5,1
23,15000,OWN,7.0,MEDICAL,B,4475,10.99,1,0.3,N,4,0.687690869135963,1
23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,0.760650537931819,1
25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4,0.8417194417001316,1
23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3,0.684930743454989,1
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4,0.6834910823012655,1
24,91800,RENT,4.0,PERSONAL,C,25000,13.43,0,0.27,Y,3,0.730562513393342,1
25,92000,RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,N,3,0.7049630010978722,1
