person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,ann_score,risk_score_tahap3,predicted_tahap3
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.3390708948096907,0.5000000000000006,1
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.07875783811825564,0.39284846136147344,0
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.27587610895662174,0.5,1
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.029507883794862272,0.5,1
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.17623398385595804,0.4999999999999998,0
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,0.17892087193003547,0.39284846136147344,0
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,0.8059263794766052,0.5,1
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.27424237498813075,0.5000000000000006,1
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.679733336844149,0.5,1
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.4635489053359266,0.5000000000000006,1
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.7755983306603121,0.8093806294477919,1
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.4783433507002698,0.5000000000000006,1
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.6474594485418346,0.4999999999999998,0
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.6354947614129448,0.5,1
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.7438609749944811,0.5491517692886827,1
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.13084553913076835,0.5000000000000006,1
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.313594566980894,0.5000000000000006,1
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.15868729932772965,0.5,1
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,0.1368002772669188,0.40478154326605403,0
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,0.19317607790787908,0.40478154326605403,0
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.11754131721165324,0.5,1
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,0.6900265642352881,0.5,1
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.5935625422749149,0.5607531132204778,1
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.7122204796502613,0.6113503531122865,1
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0.08128699129148273,0.5,1
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.7964756180159767,0.5,1
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.6150583503038101,0.5,1
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,0.6428566099909119,0.574162971266634,1
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.7318278262411051,0.5,1
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.16745181328348221,0.5000000000000006,1
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.19542064081931457,0.5000000000000006,1
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.7168862921156585,0.8093806294477919,1
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.25013846995533956,0.4999999999999998,0
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.05246984143827713,0.36153885619811166,0
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.10072737923753244,0.5000000000000006,1
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.25042512938479267,0.5000000000000006,1
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.25467914475795345,0.5,1
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.23557294590602415,0.4999999999999998,0
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.39049007464038693,0.48770170969587373,0
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.2003970008679184,0.5000000000000006,1
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.9058660163200885,0.8093806294477919,1
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,0.9042504400768593,0.8093806294477919,1
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.18445341935924245,0.4999999999999998,0
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.26086579328065224,0.39284846136147344,0
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.0802463934389967,0.44537386481828284,0
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.6511530977181407,0.5,1
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.09730254509439432,0.5,1
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,0.06461907465920837,0.40478154326605403,0
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.617399226059248,0.4999999999999998,0
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.21254679609555752,0.5,1
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.9252791911818065,0.5,1
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.8160837324204977,0.8236972410307427,1
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.5172485561105048,0.5000000000000006,1
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,0.6428566099909119,0.574162971266634,1
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.943954817074932,0.8093806294477919,1
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.8266849881463105,0.5,1
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.6008163022067043,0.5,1
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.048479863554173434,0.3907541215478807,0
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.04519376816802027,0.5,1
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.07237131376581965,0.5,1
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.8359704773679919,0.8093806294477919,1
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.7693920878749962,0.8093806294477919,1
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.7469587135203147,0.5,1
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.922128793558463,0.5,1
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.8248465461471676,0.8236972410307427,1
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.8078435727302647,0.5,1
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.8313804550183034,0.8093806294477919,1
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.7934523458302049,0.8236972410307427,1
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.6273079220969767,0.5683668906661529,1
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.0969097052956582,0.5,1
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.05653792332510885,0.39284846136147344,0
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.5020134631605565,0.5000000000000006,1
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.25633622022072994,0.5,1
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.35279950762495516,0.5000000000000006,1
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.0401143119681989,0.5,1
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.8258001873269374,0.5,1
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.8616859611426227,0.8236972410307427,1
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.8155368157372612,0.8236972410307427,1
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.9027192822473337,0.5,1
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.9493428674198241,0.5,1
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.05752397732344391,0.3815805466193539,0
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.6123070402357674,0.4999999999999998,0
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.06688679254146952,0.3815805466193539,0
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.0850590513811318,0.47783589949389105,0
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.952829609091235,0.5,1
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,0.756417127268803,0.8236972410307427,1
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,0.756417127268803,0.8236972410307427,1
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.763211410316115,0.8093806294477919,1
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.8619174898524388,0.8093806294477919,1
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.7906498286467417,0.8236972410307427,1
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.7886254576695308,0.5,1
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.14577112159469857,0.5000000000000006,1
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.5658070261894798,0.5000000000000006,1
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.9427022047925203,0.8236972410307427,1
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.7168862921156585,0.8093806294477919,1
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.7190837084083862,0.8093806294477919,1
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.8441589404617582,0.5,1
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,0.33504711886971134,0.43171983126620406,0
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.12084761379591147,0.5,1
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.17105154319688626,0.5,1
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.29399807575637205,0.4999999999999998,0
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.8971310615922863,0.8236972410307427,1
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.7477086187167112,0.8093806294477919,1
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.7060453862739366,0.820301399025819,1
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.7180342725358908,0.820301399025819,1
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.7226417345216203,0.5,1
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.8307082849855151,0.8093806294477919,1
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,0.09519715122237143,0.5,1
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.2397713769215741,0.5,1
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.04637862663898497,0.17630275896925715,0
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.30940874868620644,0.5000000000000006,1
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.10052211860844287,0.5,1
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.0459803349913018,0.2882343795326924,0
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.6373807177216453,0.5,1
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.6953945397107228,0.6031664890535673,1
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.02498163106498346,0.17630275896925715,0
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.5196147763387139,0.5000000000000006,1
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.06920954960970208,0.5,1
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.27066842487531523,0.5000000000000006,1
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,0.0771581543787754,0.39284846136147344,0
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,0.718857515870193,0.5,1
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,0.11330612720524098,0.40478154326605403,0
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.7774120472341361,0.5,1
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.6140242923402578,0.5352613192389781,1
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.6428566099909119,0.574162971266634,1
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.7114183803593879,0.574162971266634,1
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.8445636611201154,0.5,1
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.07810609775439056,0.39284846136147344,0
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.5633413721984007,0.5,1
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.19798388617823595,0.5000000000000006,1
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.7567777316704244,0.5397034378883327,1
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.2838106425445494,0.39284846136147344,0
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.636021773333178,0.5174017699644331,1
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.6696325094421975,0.8093806294477919,1
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.823268618462881,0.6056029017924518,1
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.7947311538120659,0.5,1
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.6669404707912209,0.5683668906661529,1
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.5550535799643336,0.5,1
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.6284238147233866,0.5,1
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.5804229406479322,0.5000000000000006,1
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.5483870265761891,0.5,1
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,0.08273057751817313,0.5,1
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.10446656854181169,0.4999999999999998,0
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,0.07447123560119254,0.39284846136147344,0
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,0.0706019243620651,0.39284846136147344,0
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.5325406403647711,0.4999999999999998,0
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.7610937536342531,0.5464699695333397,1
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.09587538169789839,0.4999999999999998,0
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.10366101160038273,0.4502354571188742,0
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,Y,2,0.5117649342953683,0.5,1
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.4964904732020843,0.5000000000000006,1
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.4995598167593683,0.5000000000000006,1
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.05997309673998151,0.3815805466193539,0
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0.38541628108964365,0.5,1
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,0.7359469020555477,0.5,1
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,0.6669839087214665,0.5,1
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,0.8150052000510025,0.5,1
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,0.700692938126608,0.5,1
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,0.4911271364914689,0.4999999999999998,0
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,N,4,0.0751438096802173,0.40478154326605403,0
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,0.31561290896579286,0.5,1
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,0.5118852803861234,0.4999999999999998,0
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0.10483425363133103,0.5,1
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0.03473440050213122,0.5,1
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,0.28406643765429945,0.4999999999999998,0
